"sale_id","artwork_id","artist_name","category","sale_date","auction_house","sale_price_eur","estimate_low_eur","estimate_high_eur","sold_above_estimate","price_change_pct","price_change_explanation","buyer_type","buyer_name","buyer_nationality","buyer_profile","bart_score_buyer","seller_type","seller_name","seller_profile","bart_score_seller","sale_location","is_private_sale","bart_score_sale","source"
"SL0011","BNK011","Banksy","Street Art","2016-08-15","Bonhams","51800","43000","62000","false","-6.5","Contraction du marché confirmée ; les maisons de vente réajustent leurs estimations à la baisse pour éviter les invendus embarrassants.","Collectionneur","Jose Mugrabi","Américain","Famille Mugrabi, propriétaires de la plus grande collection privée d'Andy Warhol au monde.","89","Collectionneur","Collection Robert Hughes","Héritage du critique d'art australien, vente partielle orchestrée par Christie's.","84","Los Angeles","false","83.2","Généré IA"
"SL0012","BNK012","Banksy","Street Art","2016-11-15","Christie's","46500","36000","55000","false","-10.23","Stabilisation relative en fin d'année ; l'élection de Trump génère une volatilité ponctuelle mais les marchés financiers résistent bien.","Galerie","Perrotin","Français","Galerie parisienne internationale, découvreuse de talents ayant lancé KAWS et Takashi Murakami.","88","Collectionneur","Broad Collection","Vente d'une œuvre dupliquée dans la collection Broad, dégagement stratégique.","87","Londres","false","81.3","Généré IA"
"SL0013","BNK013","Banksy","Street Art","2017-02-15","Sotheby's","68500","45000","91000","false","47.31","Reprise progressive et sélective ; les acheteurs moyen-orientaux et asiatiques reviennent, focalisés sur les valeurs sûres du marché.","Collectionneur","Adam Lindemann","Américain","Collectionneur et dealer pionnier du street art et de l'art post-war.","85","Collectionneur","Collection Robert Hughes","Héritage du critique d'art australien, vente partielle orchestrée par Christie's.","84","New York","false","85.9","Généré IA"
"SL0014","BNK014","Banksy","Street Art","2017-05-15","Sotheby's","65500","45000","84000","false","-4.38","TEFAF Maastricht très positif ; la demande pour les Modern Masters se consolide avec un taux de vente élevé sur les lots estimés.","Galerie","Gagosian Gallery","Américain","Réseau mondial de 19 espaces représentant les artistes les plus côtés du marché.","95","Succession","Guy Wildenstein Estate","Héritiers de la plus grande dynastie marchande d'art mondial, procédant à un réajustement du portefeuille.","89","Londres","false","89.1","Généré IA"
"SL0015","BNK015","Banksy","Street Art","2017-08-15","Phillips","65900","56000","78000","false","0.61","Ventes estivales à Londres en forte hausse chez Christie's ; le marché figuratif contemporain suscite un engouement croissant.","Galerie","Pace Gallery","Américain","Galerie new-yorkaise historique fondée en 1960, représentant masters et artistes contemporains.","91","Succession","Guy Wildenstein Estate","Héritiers de la plus grande dynastie marchande d'art mondial, procédant à un réajustement du portefeuille.","89","New York","false","86.7","Généré IA"
"SL0016","BNK016","Banksy","Street Art","2017-11-15","Sotheby's","63600","48000","80000","false","-3.49","Le Salvator Mundi vendu 450 M$ chez Christie's New York (15 nov. 2017) redéfinit les paramètres du marché et stimule la demande globale.","Musée","Pinakothek der Moderne","Allemand","Institution munichoise gérant quatre musées et une politique d'acquisition transversale.","88","Succession","Héritage Famille Menil","Patrimoine issu de la collection fondatrice des Menil à Houston, icône du mécénat texan.","90","Hong Kong","false","85.7","Généré IA"
"SL0017","BNK017","Banksy","Street Art","2018-02-15","Sotheby's","66800","48000","89000","false","5.03","Solide début d'année sur tous les segments ; l'optimisme post-croissance 2017 se traduit par une confiance renouvelée des acheteurs.","Collectionneur","Eugenio López Alonso","Mexicain","Fondateur du Museo Jumex à Mexico City, pionnier de la collection contemporaine latino-américaine.","87","Collectionneur","Collection Robert Hughes","Héritage du critique d'art australien, vente partielle orchestrée par Christie's.","84","Paris","false","79.6","Généré IA"
"SL0018","BNK018","Banksy","Street Art","2018-05-15","Sotheby's","65900","52000","80000","false","-1.35","Le marché ultra-contemporain explose : Sotheby's et Christie's ouvrent leurs ventes aux artistes nés après 1975 avec succès record.","Galerie","Gagosian Gallery","Américain","Réseau mondial de 19 espaces représentant les artistes les plus côtés du marché.","95","Succession","Héritage Famille Menil","Patrimoine issu de la collection fondatrice des Menil à Houston, icône du mécénat texan.","90","Los Angeles","false","89.0","Généré IA"
"SL0019","BNK019","Banksy","Street Art","2018-08-15","Christie's","62200","52000","74000","false","-5.61","Croissance soutenue malgré les tensions commerciales USA-Chine ; l'art digital et les NFT préfigurent attirent une clientèle plus jeune.","Anonyme","Anonyme","Asiatique","Investisseur institutionnel asiatique opérant via un intermédiaire londonien, préférant l'anonymat.","74","Collectionneur","Broad Collection","Vente d'une œuvre dupliquée dans la collection Broad, dégagement stratégique.","87","New York","false","83.9","Généré IA"
"SL0020","BNK020","Banksy","Street Art","2018-11-15","Artcurial","61300","48000","73000","false","-1.45","Fin d'année dynamique avec des résultats solides à Hong Kong et New York ; les lots garantis surperforment les estimations de 40%.","Collectionneur","Patrizia Sandretto","Italienne","Fondatrice de la Fondation Re Rebaudengo à Turin, programmatrice internationale.","88","Galerie","Collection Saatchi","Charles Saatchi, marchand-collectionneur londonien dont les ventes ont lancé la YBA dans les années 90.","86","Paris","false","82.8","Généré IA"
"SL0021","BNK021","Banksy","Street Art","2019-02-15","Christie's","84000","51000","112000","false","37.03","Marché solide mais plus sélectif ; la polarisation s'accentue entre artistes premium et mid-market qui stagne.","Galerie","Hauser & Wirth","Suisse","Méga-galerie internationale présente dans plus de 20 villes, productrice d'expositions majeures.","94","Collectionneur","Collection Privée Européenne","Collectionneur européen de longue date liquidant une partie de son portefeuille après 15 ans de détention.","88","Londres","false","87.3","Généré IA"
"SL0022","BNK022","Banksy","Street Art","2019-05-15","Sotheby's","76300","60000","91000","false","-9.17","Résultats contrastés à New York en mai ; le segment street art surperforme avec Banksy, KAWS et Mr. Brainwash au cœur des enchères.","Fondation","Fondation Beyeler","Suisse","Institution bâloise reconnue comme l'un des musées d'art privés les plus importants au monde.","93","Succession","Héritage Famille Menil","Patrimoine issu de la collection fondatrice des Menil à Houston, icône du mécénat texan.","90","Londres","false","91.5","Généré IA"
"SL0023","BNK023","Banksy","Street Art","2019-08-15","Christie's","86200","72000","103000","false","12.98","Les manifestations à Hong Kong perturbent les ventes locales ; redistribution vers Singapore, Séoul et New York observée.","Galerie","David Zwirner","Américain","Galerie influente représentant des artistes de premier plan à New York, Londres et Hong Kong.","93","Succession","Succession Stern","Vente d'une collection constituée sur trois décennies par une famille de banquiers suisses.","83","Los Angeles","false","83.7","Généré IA"
"SL0024","BNK024","Banksy","Street Art","2019-11-15","Sotheby's","81100","61000","101000","false","-5.92","Clôture 2019 correcte malgré le contexte géopolitique tendu ; la résilience du marché de l'art face aux crises se confirme.","Collectionneur","Eugenio López Alonso","Mexicain","Fondateur du Museo Jumex à Mexico City, pionnier de la collection contemporaine latino-américaine.","87","Collectionneur","Collection Robert Hughes","Héritage du critique d'art australien, vente partielle orchestrée par Christie's.","84","New York","false","86.4","Généré IA"
"SL0025","BNK025","Banksy","Street Art","2020-02-15","Sotheby's","62700","47000","78000","false","-22.69","Covid-19 : ventes de mars annulées ou reportées sur tous les continents ; choc sans précédent sur le marché mondial.","Collectionneur","Eugenio López Alonso","Mexicain","Fondateur du Museo Jumex à Mexico City, pionnier de la collection contemporaine latino-américaine.","87","Galerie","Portfolio Art Fund SA","Fonds d'investissement artistique procédant à une rotation de portefeuille après période de détention 5-7 ans.","80","Paris","false","80.4","Généré IA"
"SL0026","BNK026","Banksy","Street Art","2020-05-15","Sotheby's","58700","44000","72000","false","-6.38","Premières ventes 100% online chez Christie's, Sotheby's et Phillips ; les résultats restent en retrait de 30-40% vs 2019.","Galerie","David Zwirner","Américain","Galerie influente représentant des artistes de premier plan à New York, Londres et Hong Kong.","93","Collectionneur","Broad Collection","Vente d'une œuvre dupliquée dans la collection Broad, dégagement stratégique.","87","New York","false","87.7","Généré IA"
"SL0027","BNK027","Banksy","Street Art","2020-08-15","Bonhams","76900","61000","93000","false","31.01","Reprise partielle : Phillips online réalise des performances surprenantes ; les NFT commencent à stimuler l'intérêt pour l'art numérique.","Collectionneur","Dakis Joannou","Grec","Collectionneur institutionnel ami de Jeff Koons et KAWS, fondateur de la fondation DESTE.","90","Galerie","Portfolio Art Fund SA","Fonds d'investissement artistique procédant à une rotation de portefeuille après période de détention 5-7 ans.","80","Los Angeles","false","80.7","Généré IA"
"SL0028","BNK028","Banksy","Street Art","2020-11-15","Heritage Auctions","70400","52000","90000","false","-8.45","Rebond de fin d'année porté par les enchères digitales et le retour des collectionneurs ; les prix des sommets restent stables.","Galerie","Perrotin","Français","Galerie parisienne internationale, découvreuse de talents ayant lancé KAWS et Takashi Murakami.","88","Galerie","Portfolio Art Fund SA","Fonds d'investissement artistique procédant à une rotation de portefeuille après période de détention 5-7 ans.","80","New York","false","86.9","Généré IA"
"SL0029","BNK029","Banksy","Street Art","2021-02-15","Phillips","78200","63000","93000","false","11.08","Fort rebond post-confinement : l'euphorie du marché NFT (Beeple à 69 M$) stimule l'intérêt général pour l'art contemporain.","Galerie","Hauser & Wirth","Suisse","Méga-galerie internationale présente dans plus de 20 villes, productrice d'expositions majeures.","94","Succession","Succession Anonyme","Vente de succession d'un grand collectionneur, gérée par un cabinet juridique spécialisé en droit de l'art.","82","Hong Kong","false","83.4","Généré IA"
"SL0030","BNK030","Banksy","Street Art","2021-05-15","Christie's","64000","46000","84000","false","-18.16","Boom historique des enchères printanières : Basquiat atteint 93,1 M$ chez Sotheby's en mai, nouveau record de l'artiste.","Fondation","Fondation Beyeler","Suisse","Institution bâloise reconnue comme l'un des musées d'art privés les plus importants au monde.","93","Collectionneur","Broad Collection","Vente d'une œuvre dupliquée dans la collection Broad, dégagement stratégique.","87","Los Angeles","false","90.5","Généré IA"
"SL0031","BNK031","Banksy","Street Art","2021-08-15","Christie's","80500","62000","101000","false","25.78","Marché au plus haut depuis 2015 ; retour massif des acheteurs asiatiques et nouvelle vague d'ultra-HNWI entrant sur le marché.","Galerie","White Cube","Britannique","Galerie londonienne de référence fondée par Jay Jopling, programme international exigeant.","92","Succession","Guy Wildenstein Estate","Héritiers de la plus grande dynastie marchande d'art mondial, procédant à un réajustement du portefeuille.","89","Paris","false","86.5","Généré IA"
"SL0032","BNK032","Banksy","Street Art","2021-11-15","Bonhams","83200","65000","100000","false","3.35","Année 2021 record estimée à 65,1 Mds$ ; les artistes ultra-contemporains ont vu leurs prix multipliés par 3 à 5 en un an.","Collectionneur","Eli Broad","Américain","Philanthrope fondateur du Broad Museum de Los Angeles, 2 000 œuvres contemporaines.","92","Collectionneur","Broad Collection","Vente d'une œuvre dupliquée dans la collection Broad, dégagement stratégique.","87","New York","false","90.8","Généré IA"
"SL0033","BNK033","Banksy","Street Art","2022-02-15","Christie's","92400","74000","111000","false","11.06","Marché dynamique malgré la guerre en Ukraine ; les actifs tangibles incluant l'art attirent des capitaux en quête de refuges.","Galerie","Thaddaeus Ropac","Autrichien","Galerie avec espaces à Paris Marais, Pantin, Salzbourg et Londres.","89","Collectionneur","Anonymous Collector","Vendeur anonyme, opération discrète caractéristique du marché secondaire de l'art haut de gamme.","77","New York","false","80.7","Généré IA"
"SL0034","BNK034","Banksy","Street Art","2022-05-15","Phillips","98000","68000","124000","false","6.06","Art Basel Bâle 2022 historique avec 4,5 Mds$ de transactions ; le marché primaire et secondaire sont tous deux en pleine forme.","Collectionneur","Yana Peel","Britannique","Ex-CEO de Serpentine Galleries, collectionneuse et curator influente sur la scène internationale.","84","Collectionneur","Anonymous Collector","Vendeur anonyme, opération discrète caractéristique du marché secondaire de l'art haut de gamme.","77","New York","false","82.9","Généré IA"
"SL0035","BNK035","Banksy","Street Art","2022-08-15","Heritage Auctions","108400","80000","140000","false","10.61","Légère décélération estivale ; l'inflation mondiale et la hausse des taux commencent à peser sur les acheteurs du segment mid-market.","Collectionneur","Peter Brant","Américain","Éditeur d'Interview Magazine et fondateur du Brant Foundation Art Study Center.","87","Collectionneur","Broad Collection","Vente d'une œuvre dupliquée dans la collection Broad, dégagement stratégique.","87","Londres","false","85.2","Généré IA"
"SL0036","BNK036","Banksy","Street Art","2022-11-15","Sotheby's","98400","69000","128000","false","-9.23","Résultats solides en fin d'année ; le segment photography et le street art résistent mieux à la correction que les Blue Chips.","Collectionneur","Yana Peel","Britannique","Ex-CEO de Serpentine Galleries, collectionneuse et curator influente sur la scène internationale.","84","Collectionneur","Broad Collection","Vente d'une œuvre dupliquée dans la collection Broad, dégagement stratégique.","87","Los Angeles","false","84.2","Généré IA"
"SL0037","BNK037","Banksy","Street Art","2023-02-15","Sotheby's","95000","74000","115000","false","-3.46","Début de correction annoncée après trois années exceptionnelles ; prudence des acheteurs face à la hausse des taux et aux incertitudes macro.","Galerie","Thaddaeus Ropac","Autrichien","Galerie avec espaces à Paris Marais, Pantin, Salzbourg et Londres.","89","Collectionneur","Anonymous Collector","Vendeur anonyme, opération discrète caractéristique du marché secondaire de l'art haut de gamme.","77","Hong Kong","false","79.6","Généré IA"
"SL0038","BNK038","Banksy","Street Art","2023-05-15","Christie's","84500","64000","108000","false","-11.05","Ventes mitigées à New York : les lots sans garantie peinent ; sélectivité accrue avec chute des taux de vente aux enchères.","Collectionneur","Dakis Joannou","Grec","Collectionneur institutionnel ami de Jeff Koons et KAWS, fondateur de la fondation DESTE.","90","Succession","Guy Wildenstein Estate","Héritiers de la plus grande dynastie marchande d'art mondial, procédant à un réajustement du portefeuille.","89","Londres","false","83.2","Généré IA"
"SL0039","BNK039","Banksy","Street Art","2023-08-15","Sotheby's","94100","63000","123000","false","11.36","Marché à deux vitesses : les femmes ultra-contemporaines (Fadojutimi, Yukhnovich) restent en forte demande malgré la correction générale.","Collectionneur","Alberto Mugrabi","Américain","Marchand-collectionneur new-yorkais, actif sur le marché secondaire de l'art contemporain.","88","Galerie","Family Office Zurich","Structure patrimoniale helvétique gérant des actifs alternatifs incluant une collection d'art estimée à 80 M€.","79","New York","false","84.5","Généré IA"
"SL0040","BNK040","Banksy","Street Art","2023-11-15","Christie's","84000","58000","109000","false","-10.73","Clôture 2023 en retrait de ~18% vs 2022 ; fin du supercycle haussier entamé en 2021, ajustement sain selon les analystes.","Galerie","Sprüth Magers","Allemand","Galerie spécialisée dans l'art conceptuel, la photographie et le féminisme artistique.","87","Galerie","Portfolio Art Fund SA","Fonds d'investissement artistique procédant à une rotation de portefeuille après période de détention 5-7 ans.","80","Los Angeles","false","80.2","Généré IA"
"SL0041","KWS001","KAWS","Street Art","2014-02-15","Phillips","35200","27000","43000","false","","Première vente de référence pour cet artiste dans l'indice ; base servant de point de départ pour le suivi longitudinal des prix.","Collectionneur","Dakis Joannou","Grec","Collectionneur institutionnel ami de Jeff Koons et KAWS, fondateur de la fondation DESTE.","90","Collectionneur","Collection Privée Européenne","Collectionneur européen de longue date liquidant une partie de son portefeuille après 15 ans de détention.","88","New York","false","89.0","Généré IA"
"SL0042","KWS002","KAWS","Street Art","2014-05-15","Artcurial","42700","36000","51000","false","21.31","Art Basel Bâle 2014 dépasse les attentes avec 95% de galeries satisfaites ; l'art contemporain attire de nouveaux capitaux institutionnels.","Collectionneur","Dakis Joannou","Grec","Collectionneur institutionnel ami de Jeff Koons et KAWS, fondateur de la fondation DESTE.","90","Succession","Héritage Famille Menil","Patrimoine issu de la collection fondatrice des Menil à Houston, icône du mécénat texan.","90","New York","false","89.8","Généré IA"
"SL0043","KWS003","KAWS","Street Art","2014-08-15","Phillips","35100","28000","42000","false","-17.8","Ventes estivales solides à Londres malgré la période creuse ; Phillips réalise ses meilleures enchères depuis sa fondation.","Collectionneur","François Pinault","Français","Milliardaire fondateur de Kering, collection de réputation mondiale, Palazzo Grassi et Punta della Dogana.","96","Succession","Succession Stern","Vente d'une collection constituée sur trois décennies par une famille de banquiers suisses.","83","New York","false","84.0","Généré IA"
"SL0044","KWS004","KAWS","Street Art","2014-11-15","Christie's","39700","31000","50000","false","13.11","Christie's réalise 852 M$ en une seule soirée à New York, nouveau record absolu ; l'appétit pour l'art post-war est sans précédent.","Collectionneur","Peter Brant","Américain","Éditeur d'Interview Magazine et fondateur du Brant Foundation Art Study Center.","87","Galerie","Family Office Zurich","Structure patrimoniale helvétique gérant des actifs alternatifs incluant une collection d'art estimée à 80 M€.","79","Paris","false","84.1","Généré IA"
"SL0045","KWS005","KAWS","Street Art","2015-02-15","Heritage Auctions","38400","26000","50000","false","-3.27","Forte demande asiatique en début d'année ; le marché est soutenu par les collectionneurs chinois et les familles de richesse récente.","Collectionneur","Patrizia Sandretto","Italienne","Fondatrice de la Fondation Re Rebaudengo à Turin, programmatrice internationale.","88","Succession","Succession Anonyme","Vente de succession d'un grand collectionneur, gérée par un cabinet juridique spécialisé en droit de l'art.","82","Los Angeles","false","87.7","Généré IA"
"SL0046","KWS006","KAWS","Street Art","2015-05-15","Bonhams","45600","32000","58000","false","18.75","Année record en vue : Sotheby's et Christie's totalisent 1,6 Md$ sur les ventes de mai à New York ; les UHNWI achètent massivement.","Anonyme","Anonyme","Moyen-Oriental","Fonds souverain ou HNWI du Golfe Persique conservant l'anonymat, représenté par un conseil d'art.","76","Collectionneur","Broad Collection","Vente d'une œuvre dupliquée dans la collection Broad, dégagement stratégique.","87","Los Angeles","false","84.6","Généré IA"
"SL0047","KWS007","KAWS","Street Art","2015-08-15","Phillips","39200","28000","49000","false","-14.04","Légère pause estivale mais le segment ultra-contemporain continue sa progression ; émergence des artistes femmes sur le marché secondaire.","Fondation","Fondation Cartier","Français","Institution parisienne fondée en 1984, soutenant l'art contemporain et les cultures non-occidentales.","92","Galerie","Collection Saatchi","Charles Saatchi, marchand-collectionneur londonien dont les ventes ont lancé la YBA dans les années 90.","86","Hong Kong","false","86.4","Généré IA"
"SL0048","KWS008","KAWS","Street Art","2015-11-15","Phillips","37600","27000","50000","false","-4.08","Marché mondial record à 63,8 Mds$ en 2015 ; la fin d'année est portée par des lots exceptionnels dont Modigliani à 170 M$.","Collectionneur","Patrizia Sandretto","Italienne","Fondatrice de la Fondation Re Rebaudengo à Turin, programmatrice internationale.","88","Succession","Succession Stern","Vente d'une collection constituée sur trois décennies par une famille de banquiers suisses.","83","Los Angeles","false","87.7","Généré IA"
"SL0049","KWS009","KAWS","Street Art","2016-02-15","Christie's","41400","26000","55000","false","10.11","Correction post-records : le krach boursier de Shanghai ralentit les achats transfrontaliers ; les collectionneurs russes réduisent leur activité.","Fondation","Fondation Louis Vuitton","Français","Fondation d'entreprise inaugurée en 2014, rayonnement international et collection permanente.","95","Collectionneur","Collection Robert Hughes","Héritage du critique d'art australien, vente partielle orchestrée par Christie's.","84","New York","false","82.8","Généré IA"
"SL0050","KWS010","KAWS","Street Art","2016-05-15","Christie's","43600","30000","59000","false","5.31","Résultats décevants à New York : Christie's voit ses recettes baisser de 27% ; le vote Brexit crée une forte incertitude à Londres.","Galerie","White Cube","Britannique","Galerie londonienne de référence fondée par Jay Jopling, programme international exigeant.","92","Collectionneur","Collection Robert Hughes","Héritage du critique d'art australien, vente partielle orchestrée par Christie's.","84","Londres","false","89.6","Généré IA"
"SL0051","KWS011","KAWS","Street Art","2016-08-15","Sotheby's","42600","34000","53000","false","-2.29","Contraction du marché confirmée ; les maisons de vente réajustent leurs estimations à la baisse pour éviter les invendus embarrassants.","Collectionneur","Eugenio López Alonso","Mexicain","Fondateur du Museo Jumex à Mexico City, pionnier de la collection contemporaine latino-américaine.","87","Collectionneur","Collection Privée Européenne","Collectionneur européen de longue date liquidant une partie de son portefeuille après 15 ans de détention.","88","Los Angeles","false","85.5","Généré IA"
"SL0052","KWS012","KAWS","Street Art","2016-11-15","Sotheby's","42900","29000","56000","false","0.7","Stabilisation relative en fin d'année ; l'élection de Trump génère une volatilité ponctuelle mais les marchés financiers résistent bien.","Collectionneur","Patrizia Sandretto","Italienne","Fondatrice de la Fondation Re Rebaudengo à Turin, programmatrice internationale.","88","Galerie","Collection Saatchi","Charles Saatchi, marchand-collectionneur londonien dont les ventes ont lancé la YBA dans les années 90.","86","Paris","false","84.6","Généré IA"
"SL0053","KWS013","KAWS","Street Art","2017-02-15","Christie's","42700","36000","51000","false","-0.47","Reprise progressive et sélective ; les acheteurs moyen-orientaux et asiatiques reviennent, focalisés sur les valeurs sûres du marché.","Collectionneur","Eugenio López Alonso","Mexicain","Fondateur du Museo Jumex à Mexico City, pionnier de la collection contemporaine latino-américaine.","87","Succession","Succession Anonyme","Vente de succession d'un grand collectionneur, gérée par un cabinet juridique spécialisé en droit de l'art.","82","Hong Kong","false","85.4","Généré IA"
"SL0054","KWS014","KAWS","Street Art","2017-05-15","Bonhams","52100","37000","69000","false","22.01","TEFAF Maastricht très positif ; la demande pour les Modern Masters se consolide avec un taux de vente élevé sur les lots estimés.","Galerie","Pace Gallery","Américain","Galerie new-yorkaise historique fondée en 1960, représentant masters et artistes contemporains.","91","Succession","Héritage Famille Menil","Patrimoine issu de la collection fondatrice des Menil à Houston, icône du mécénat texan.","90","Hong Kong","false","91.5","Généré IA"
"SL0055","KWS015","KAWS","Street Art","2017-08-15","Christie's","41200","31000","52000","false","-20.92","Ventes estivales à Londres en forte hausse chez Christie's ; le marché figuratif contemporain suscite un engouement croissant.","Collectionneur","Eli Broad","Américain","Philanthrope fondateur du Broad Museum de Los Angeles, 2 000 œuvres contemporaines.","92","Collectionneur","Broad Collection","Vente d'une œuvre dupliquée dans la collection Broad, dégagement stratégique.","87","New York","false","89.1","Généré IA"
"SL0056","KWS016","KAWS","Street Art","2017-11-15","Sotheby's","46100","29000","62000","false","11.89","Le Salvator Mundi vendu 450 M$ chez Christie's New York (15 nov. 2017) redéfinit les paramètres du marché et stimule la demande globale.","Collectionneur","Francesca von Habsburg","Autrichienne","Fondatrice de TBA21, collection dédiée à l'art et à la durabilité environnementale.","86","Succession","Héritage Famille Menil","Patrimoine issu de la collection fondatrice des Menil à Houston, icône du mécénat texan.","90","Hong Kong","false","87.0","Généré IA"
"SL0057","KWS017","KAWS","Street Art","2018-02-15","Sotheby's","49000","37000","63000","false","6.29","Solide début d'année sur tous les segments ; l'optimisme post-croissance 2017 se traduit par une confiance renouvelée des acheteurs.","Collectionneur","Eli Broad","Américain","Philanthrope fondateur du Broad Museum de Los Angeles, 2 000 œuvres contemporaines.","92","Succession","Guy Wildenstein Estate","Héritiers de la plus grande dynastie marchande d'art mondial, procédant à un réajustement du portefeuille.","89","New York","false","88.7","Généré IA"
"SL0058","KWS018","KAWS","Street Art","2018-05-15","Phillips","49900","41000","60000","false","1.84","Le marché ultra-contemporain explose : Sotheby's et Christie's ouvrent leurs ventes aux artistes nés après 1975 avec succès record.","Galerie","Sprüth Magers","Allemand","Galerie spécialisée dans l'art conceptuel, la photographie et le féminisme artistique.","87","Succession","Succession Anonyme","Vente de succession d'un grand collectionneur, gérée par un cabinet juridique spécialisé en droit de l'art.","82","Los Angeles","false","83.1","Généré IA"
