"artwork_id","artist_name","artist_id","category","title","year_created","medium","dimensions_cm","description","creation_context","artwork_style","notable_owners","bart_score","image_url"
"BNK036","Banksy","ART_BNK","Street Art","Wall Fragment (20)","2016","Stencil and spray on canvas","50x70","Wall Fragment (20), exécutée par Banksy en 2016. Œuvre dans le style caractéristique de l'artiste, support stencil and spray on canvas.","Période créative 2016, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Sotheby's archives","80",""
"BNK037","Banksy","ART_BNK","Street Art","Spray Print #21","2014","Screenprint, signed edition","50x70","Spray Print #21, exécutée par Banksy en 2014. Œuvre dans le style caractéristique de l'artiste, support screenprint, signed edition.","Période créative 2014, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Collection privée britannique","72",""
"BNK038","Banksy","ART_BNK","Street Art","Rat Series #22","2011","Stencil on plywood","100x150","Rat Series #22, exécutée par Banksy en 2011. Œuvre dans le style caractéristique de l'artiste, support stencil on plywood.","Période créative 2011, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Sotheby's archives","87",""
"BNK039","Banksy","ART_BNK","Street Art","Spray Print #23","2001","Stencil on plywood","70x100","Spray Print #23, exécutée par Banksy en 2001. Œuvre dans le style caractéristique de l'artiste, support stencil on plywood.","Période créative 2001, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Collection privée britannique","77",""
"BNK040","Banksy","ART_BNK","Street Art","Spray Print #24","2021","Stencil and spray on canvas","60x80","Spray Print #24, exécutée par Banksy en 2021. Œuvre dans le style caractéristique de l'artiste, support stencil and spray on canvas.","Période créative 2021, série stylistique caractéristique.","Pochoir et spray, signature Banksy","Collection privée US","80",""
"KWS001","KAWS","ART_KWS","Street Art","The KAWS Album","2005","Acrylic on canvas","101x101","Détournement de la pochette Sgt. Pepper des Beatles avec figures Companion. Vendu 14,8M$ Sotheby's HK 2019.","Référence centrale au pop art post-numérique. Record d'enchères de l'artiste.","Pop figuratif graphique","Collection privée asiatique","82",""
"KWS002","KAWS","ART_KWS","Street Art","Companion (Resting Place)","2013","Bronze sculpture","180 cm height","Sculpture monumentale du personnage Companion en position assise, tête baissée.","Déclinée en plusieurs tailles, présente dans collections muséales.","Sculpture monumentale en bronze","Brooklyn Museum, Modern Art Museum Fort Worth","88",""
"KWS003","KAWS","ART_KWS","Street Art","Untitled (KIMPSONS)","2002","Acrylic on canvas","81x81","Détournement de la famille Simpson avec yeux croisés signature KAWS.","Série KIMPSONS, l'un des premiers détournements iconiques.","Pop appropriation cartoon","Collection privée","94",""
"KWS004","KAWS","ART_KWS","Street Art","BFF (Pink)","2013","Plush sculpture, edition","131 cm","Peluche surdimensionnée du personnage BFF en rose.","Edition limitée, vendue chez Phillips et Sotheby's.","Sculpture textile éditionnée","Collections privées multiples","83",""
"KWS005","KAWS","ART_KWS","Street Art","Final Days","2013","Bronze, edition of 25","92x52x32","Sculpture Companion gisant, série méditative sur la mort.","Présentée dans plusieurs expositions monographiques.","Sculpture en bronze","Collections privées","88",""
"KWS006","KAWS","ART_KWS","Street Art","Holiday Hong Kong","2014","Inflatable installation","37 meters","Installation gonflable géante du Companion flottant dans le port de Hong Kong.","Documentée et reproduite en éditions limitées.","Installation événementielle","AllRightsReserved (production)","87",""
"KWS007","KAWS","ART_KWS","Street Art","Companion Passing Through","2014","Painted bronze","183x122x102","Sculpture Companion accompagné d'une version miniature, thème de la transmission.","Edition de 3, présente Pace Gallery.","Sculpture peinte en bronze","Collections institutionnelles","88",""
"KWS008","KAWS","ART_KWS","Street Art","Untitled (CHUM)","2010","Acrylic on canvas","152x122","Détournement du Michelin Man avec stylisation KAWS.","Personnage CHUM récurrent dans le travail de KAWS.","Acrylique pop","Collection privée","89",""
"KWS009","KAWS","ART_KWS","Street Art","Holiday Print #00","2009","Bronze sculpture","101x101","Holiday Print #00, exécutée par KAWS en 2009. Œuvre dans le style caractéristique de l'artiste, support bronze sculpture.","Période créative 2009, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","88",""
"KWS010","KAWS","ART_KWS","Street Art","What Party Edition #01","2016","Painted vinyl figure","101x101","What Party Edition #01, exécutée par KAWS en 2016. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2016, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée US","76",""
"KWS011","KAWS","ART_KWS","Street Art","Untitled (Skull)","2007","Painted vinyl figure","101x101","Untitled (Skull), exécutée par KAWS en 2007. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2007, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Galerie Perrotin","72",""
"KWS012","KAWS","ART_KWS","Street Art","CHUM Painting #03","2015","Painted vinyl figure","81x81","CHUM Painting #03, exécutée par KAWS en 2015. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2015, série stylistique caractéristique.","Pop figuratif graphique post-numérique","AllRightsReserved","84",""
"KWS013","KAWS","ART_KWS","Street Art","Holiday Print #04","2015","Acrylic on canvas","101x101","Holiday Print #04, exécutée par KAWS en 2015. Œuvre dans le style caractéristique de l'artiste, support acrylic on canvas.","Période créative 2015, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","86",""
"KWS014","KAWS","ART_KWS","Street Art","Untitled (Skull)","2009","Screenprint, edition","30x30 (figure)","Untitled (Skull), exécutée par KAWS en 2009. Œuvre dans le style caractéristique de l'artiste, support screenprint, edition.","Période créative 2009, série stylistique caractéristique.","Pop figuratif graphique post-numérique","AllRightsReserved","84",""
"KWS015","KAWS","ART_KWS","Street Art","Holiday Print #06","2014","Screenprint, edition","30x30 (figure)","Holiday Print #06, exécutée par KAWS en 2014. Œuvre dans le style caractéristique de l'artiste, support screenprint, edition.","Période créative 2014, série stylistique caractéristique.","Pop figuratif graphique post-numérique","AllRightsReserved","84",""
"KWS016","KAWS","ART_KWS","Street Art","Companion (07)","2010","Acrylic on canvas","152x122","Companion (07), exécutée par KAWS en 2010. Œuvre dans le style caractéristique de l'artiste, support acrylic on canvas.","Période créative 2010, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","80",""
"KWS017","KAWS","ART_KWS","Street Art","CHUM Painting #08","2001","Bronze sculpture","81x81","CHUM Painting #08, exécutée par KAWS en 2001. Œuvre dans le style caractéristique de l'artiste, support bronze sculpture.","Période créative 2001, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","82",""
"KWS018","KAWS","ART_KWS","Street Art","Companion (09)","2011","Painted vinyl figure","81x81","Companion (09), exécutée par KAWS en 2011. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2011, série stylistique caractéristique.","Pop figuratif graphique post-numérique","AllRightsReserved","72",""
"KWS019","KAWS","ART_KWS","Street Art","TAKE (10)","2002","Painted vinyl figure","81x81","TAKE (10), exécutée par KAWS en 2002. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2002, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée US","85",""
"KWS020","KAWS","ART_KWS","Street Art","TAKE (11)","2015","Acrylic on canvas","152x122","TAKE (11), exécutée par KAWS en 2015. Œuvre dans le style caractéristique de l'artiste, support acrylic on canvas.","Période créative 2015, série stylistique caractéristique.","Pop figuratif graphique post-numérique","AllRightsReserved","85",""
"KWS021","KAWS","ART_KWS","Street Art","Holiday Print #12","2013","Painted vinyl figure","30x30 (figure)","Holiday Print #12, exécutée par KAWS en 2013. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2013, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée US","81",""
"KWS022","KAWS","ART_KWS","Street Art","Holiday Print #13","2014","Painted vinyl figure","81x81","Holiday Print #13, exécutée par KAWS en 2014. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2014, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","86",""
"KWS023","KAWS","ART_KWS","Street Art","Companion (14)","2014","Bronze sculpture","152x122","Companion (14), exécutée par KAWS en 2014. Œuvre dans le style caractéristique de l'artiste, support bronze sculpture.","Période créative 2014, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Galerie Perrotin","70",""
"KWS024","KAWS","ART_KWS","Street Art","What Party Edition #15","2004","Screenprint, edition","101x101","What Party Edition #15, exécutée par KAWS en 2004. Œuvre dans le style caractéristique de l'artiste, support screenprint, edition.","Période créative 2004, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","73",""
"KWS025","KAWS","ART_KWS","Street Art","KAWS Album Print #16","2008","Screenprint, edition","152x122","KAWS Album Print #16, exécutée par KAWS en 2008. Œuvre dans le style caractéristique de l'artiste, support screenprint, edition.","Période créative 2008, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Galerie Perrotin","85",""
"KWS026","KAWS","ART_KWS","Street Art","Untitled (Skull)","2011","Acrylic on canvas","152x122","Untitled (Skull), exécutée par KAWS en 2011. Œuvre dans le style caractéristique de l'artiste, support acrylic on canvas.","Période créative 2011, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","70",""
"KWS027","KAWS","ART_KWS","Street Art","BFF Edition #18","2009","Acrylic on canvas","101x101","BFF Edition #18, exécutée par KAWS en 2009. Œuvre dans le style caractéristique de l'artiste, support acrylic on canvas.","Période créative 2009, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée US","84",""
"KWS028","KAWS","ART_KWS","Street Art","Companion (19)","2001","Screenprint, edition","30x30 (figure)","Companion (19), exécutée par KAWS en 2001. Œuvre dans le style caractéristique de l'artiste, support screenprint, edition.","Période créative 2001, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Galerie Perrotin","77",""
"KWS029","KAWS","ART_KWS","Street Art","KAWS Album Print #20","2019","Bronze sculpture","101x101","KAWS Album Print #20, exécutée par KAWS en 2019. Œuvre dans le style caractéristique de l'artiste, support bronze sculpture.","Période créative 2019, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","79",""
"KWS030","KAWS","ART_KWS","Street Art","Holiday Print #21","2002","Acrylic on canvas","30x30 (figure)","Holiday Print #21, exécutée par KAWS en 2002. Œuvre dans le style caractéristique de l'artiste, support acrylic on canvas.","Période créative 2002, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Galerie Perrotin","86",""
"KWS031","KAWS","ART_KWS","Street Art","Holiday Print #22","2003","Painted vinyl figure","30x30 (figure)","Holiday Print #22, exécutée par KAWS en 2003. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2003, série stylistique caractéristique.","Pop figuratif graphique post-numérique","AllRightsReserved","87",""
"KWS032","KAWS","ART_KWS","Street Art","TAKE (23)","2005","Painted vinyl figure","101x101","TAKE (23), exécutée par KAWS en 2005. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2005, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","88",""
"KWS033","KAWS","ART_KWS","Street Art","BFF Edition #24","2018","Screenprint, edition","101x101","BFF Edition #24, exécutée par KAWS en 2018. Œuvre dans le style caractéristique de l'artiste, support screenprint, edition.","Période créative 2018, série stylistique caractéristique.","Pop figuratif graphique post-numérique","AllRightsReserved","71",""
"KWS034","KAWS","ART_KWS","Street Art","KAWS Album Print #25","2001","Painted vinyl figure","152x122","KAWS Album Print #25, exécutée par KAWS en 2001. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2001, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","70",""
"KWS035","KAWS","ART_KWS","Street Art","Untitled (Skull)","2003","Bronze sculpture","101x101","Untitled (Skull), exécutée par KAWS en 2003. Œuvre dans le style caractéristique de l'artiste, support bronze sculpture.","Période créative 2003, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Galerie Perrotin","88",""
"KWS036","KAWS","ART_KWS","Street Art","Companion (27)","2009","Acrylic on canvas","152x122","Companion (27), exécutée par KAWS en 2009. Œuvre dans le style caractéristique de l'artiste, support acrylic on canvas.","Période créative 2009, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée US","77",""
"KWS037","KAWS","ART_KWS","Street Art","Untitled (Skull)","2011","Bronze sculpture","101x101","Untitled (Skull), exécutée par KAWS en 2011. Œuvre dans le style caractéristique de l'artiste, support bronze sculpture.","Période créative 2011, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Galerie Perrotin","85",""
"KWS038","KAWS","ART_KWS","Street Art","KAWS Album Print #29","2000","Painted vinyl figure","81x81","KAWS Album Print #29, exécutée par KAWS en 2000. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2000, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Collection privée asiatique","79",""
"KWS039","KAWS","ART_KWS","Street Art","What Party Edition #30","2017","Screenprint, edition","30x30 (figure)","What Party Edition #30, exécutée par KAWS en 2017. Œuvre dans le style caractéristique de l'artiste, support screenprint, edition.","Période créative 2017, série stylistique caractéristique.","Pop figuratif graphique post-numérique","AllRightsReserved","75",""
"KWS040","KAWS","ART_KWS","Street Art","BFF Edition #31","2004","Painted vinyl figure","30x30 (figure)","BFF Edition #31, exécutée par KAWS en 2004. Œuvre dans le style caractéristique de l'artiste, support painted vinyl figure.","Période créative 2004, série stylistique caractéristique.","Pop figuratif graphique post-numérique","Galerie Perrotin","80",""
"SHF001","Shepard Fairey","ART_SHF","Street Art","Hope (Obama)","2008","Screenprint on paper","61x91","Portrait emblématique d'Obama campagne 2008, devenu icône politique mondiale.","Œuvre la plus connue de Fairey, controverse droits d'auteur AP.","Sérigraphie politique","Smithsonian National Portrait Gallery (un exemplaire)","82",""
"SHF002","Shepard Fairey","ART_SHF","Street Art","Obey Giant","1989","Screenprint","60x60","Sticker original André the Giant Has a Posse, fondation du mouvement Obey.","Œuvre fondatrice de la pratique Fairey.","Sérigraphie street","Collections privées multiples","92",""
"SHF003","Shepard Fairey","ART_SHF","Street Art","Peace Goddess","2007","Mixed media on paper","100x70","Figure pacifiste signature, série Peace.","Série Peace Goddess déclinée en plusieurs versions.","Stencil et collage","Collection privée","83",""
"SHF004","Shepard Fairey","ART_SHF","Street Art","We the People","2013","Screenprint","60x90","Série de portraits multiculturels en réponse à l'élection Trump.","Œuvre virale, distribuée gratuitement dans manifestations.","Sérigraphie politique","Diverses collections institutionnelles","94",""
"SHF005","Shepard Fairey","ART_SHF","Street Art","Make Art Not War","2005","Screenprint","60x90","Slogan iconique antimilitariste avec figure soldat-fleur.","Edition limitée distribuée au profit de causes humanitaires.","Sérigraphie engagée","Collections privées","94",""
"SHF006","Shepard Fairey","ART_SHF","Street Art","Vote Print #00","2014","Spray paint on board","60x90","Vote Print #00, exécutée par Shepard Fairey en 2014. Œuvre dans le style caractéristique de l'artiste, support spray paint on board.","Période créative 2014, série stylistique caractéristique.","Propaganda esthétique street, palette rouge-noir-crème","Obey Giant Studio","73",""
"SHF007","Shepard Fairey","ART_SHF","Street Art","Vote Print #01","1997","Mixed media stencil on canvas","75x100","Vote Print #01, exécutée par Shepard Fairey en 1997. Œuvre dans le style caractéristique de l'artiste, support mixed media stencil on canvas.","Période créative 1997, série stylistique caractéristique.","Propaganda esthétique street, palette rouge-noir-crème","Peres Projects archives","75",""
"SHF008","Shepard Fairey","ART_SHF","Street Art","Obey Eye (02)","1999","Mixed media stencil on canvas","120x80","Obey Eye (02), exécutée par Shepard Fairey en 1999. Œuvre dans le style caractéristique de l'artiste, support mixed media stencil on canvas.","Période créative 1999, série stylistique caractéristique.","Propaganda esthétique street, palette rouge-noir-crème","Collections privées US","71",""
"SHF009","Shepard Fairey","ART_SHF","Street Art","Stencil Series #03","2014","Mixed media stencil on canvas","75x100","Stencil Series #03, exécutée par Shepard Fairey en 2014. Œuvre dans le style caractéristique de l'artiste, support mixed media stencil on canvas.","Période créative 2014, série stylistique caractéristique.","Propaganda esthétique street, palette rouge-noir-crème","Peres Projects archives","72",""
"SHF010","Shepard Fairey","ART_SHF","Street Art","Obey Eye (04)","1997","Spray paint on board","60x90","Obey Eye (04), exécutée par Shepard Fairey en 1997. Œuvre dans le style caractéristique de l'artiste, support spray paint on board.","Période créative 1997, série stylistique caractéristique.","Propaganda esthétique street, palette rouge-noir-crème","Obey Giant Studio","75",""
"SHF011","Shepard Fairey","ART_SHF","Street Art","Damaged (05)","2009","Spray paint on board","100x70","Damaged (05), exécutée par Shepard Fairey en 2009. Œuvre dans le style caractéristique de l'artiste, support spray paint on board.","Période créative 2009, série stylistique caractéristique.","Propaganda esthétique street, palette rouge-noir-crème","Obey Giant Studio","76",""
"SHF012","Shepard Fairey","ART_SHF","Street Art","Imperial Glory (06)","2016","Mixed media stencil on canvas","75x100","Imperial Glory (06), exécutée par Shepard Fairey en 2016. Œuvre dans le style caractéristique de l'artiste, support mixed media stencil on canvas.","Période créative 2016, série stylistique caractéristique.","Propaganda esthétique street, palette rouge-noir-crème","Obey Giant Studio","78",""
